subject,partner,gender,files,valid files,proportion,gender
33,2,2,4,52.5,0.076190476,1
33,2,3,4,52.5,0.076190476,1
33,3,2,0,52.5,0,1
33,3,3,5,52.5,0.095238095,1
33,3,4,6,52.5,0.114285714,1
34,1,1,0,94,0,1
34,2,2,18,94,0.191489362,1
34,2,3,3,94,0.031914894,1
34,3,2,1,94,0.010638298,1
34,3,3,1,94,0.010638298,1
34,3,4,0,94,0,1
35,1,1,1,102,0.009803922,1
35,2,2,5,102,0.049019608,1
35,2,3,7,102,0.068627451,1
35,3,2,0,102,0,1
35,3,3,2,102,0.019607843,1
35,3,4,4,102,0.039215686,1
36,1,1,1,79,0.012658228,1
36,2,2,3,79,0.037974684,1
36,2,3,7,79,0.088607595,1
36,3,2,0,79,0,1
36,3,3,1,79,0.012658228,1
36,3,4,4,79,0.050632911,1
37,1,1,0,90,0,1
37,2,2,3,90,0.033333333,1
37,2,3,8,90,0.088888889,1
37,3,2,0,90,0,1
37,3,3,3,90,0.033333333,1
37,3,4,12,90,0.133333333,1
38,1,1,0,145,0,1
38,2,2,21,145,0.144827586,1
38,2,3,1,145,0.006896552,1
38,3,2,7,145,0.048275862,1
38,3,3,0,145,0,1
38,3,4,0,145,0,1
39,1,1,1,82,0.012195122,1
39,2,2,6,82,0.073170732,1
39,2,3,4,82,0.048780488,1
39,3,2,0,82,0,1
39,3,3,14,82,0.170731707,1
39,3,4,14,82,0.170731707,1
41,1,1,0,106,0,1
41,2,2,12,106,0.113207547,1
41,2,3,8,106,0.075471698,1
41,3,2,2,106,0.018867925,1
41,3,3,6,106,0.056603774,1
41,3,4,3,106,0.028301887,1
42,1,1,2,86,0.023255814,2
42,2,2,5,86,0.058139535,2
42,2,3,4,86,0.046511628,2
42,3,2,0,86,0,2
42,3,3,2,86,0.023255814,2
42,3,4,3,86,0.034883721,2
43,1,1,0,70,0,1
43,2,2,3,70,0.042857143,1
43,2,3,4,70,0.057142857,1
43,3,2,1,70,0.014285714,1
43,3,3,8,70,0.114285714,1
43,3,4,14,70,0.2,1
44,1,1,0,109,0,1
44,2,2,0,109,0,1
44,2,3,0,109,0,1
44,3,2,0,109,0,1
44,3,3,0,109,0,1
44,3,4,0,109,0,1
45,1,1,1,113,0.008849558,1
45,2,2,8,113,0.07079646,1
45,2,3,4,113,0.03539823,1
45,3,2,5,113,0.044247788,1
45,3,3,7,113,0.061946903,1
45,3,4,16,113,0.14159292,1
46,1,1,1,89,0.011235955,2
46,2,2,8,89,0.08988764,2
46,2,3,5,89,0.056179775,2
46,3,2,1,89,0.011235955,2
46,3,3,4,89,0.04494382,2
46,3,4,3,89,0.033707865,2
47,1,1,0,44,0,2
47,2,2,0,44,0,2
47,2,3,5,44,0.113636364,2
47,3,2,0,44,0,2
47,3,3,1,44,0.022727273,2
47,3,4,3,44,0.068181818,2
48,1,1,2,39,0.051282051,2
48,2,2,7,39,0.179487179,2
48,2,3,2,39,0.051282051,2
48,3,2,2,39,0.051282051,2
48,3,3,1,39,0.025641026,2
48,3,4,0,39,0,2
49,1,1,0,66,0,1
49,2,2,6,66,0.090909091,1
49,2,3,0,66,0,1
49,3,2,0,66,0,1
49,3,3,2,66,0.03030303,1
49,3,4,9,66,0.136363636,1
50,1,1,2,97,0.020618557,1
50,2,2,1,97,0.010309278,1
50,2,3,10,97,0.103092784,1
50,3,2,0,97,0,1
50,3,3,5,97,0.051546392,1
50,3,4,6,97,0.06185567,1
52,1,1,0,59,0,2
52,2,2,0,59,0,2
52,2,3,8,59,0.13559322,2
52,3,2,0,59,0,2
52,3,3,5,59,0.084745763,2
52,3,4,0,59,0,2
53,1,1,0,48,0,2
53,2,2,4,48,0.083333333,2
53,2,3,2,48,0.041666667,2
53,3,2,3,48,0.0625,2
53,3,3,0,48,0,2
53,3,4,2,48,0.041666667,2
54,1,1,0,20,0,1
54,2,2,0,20,0,1
54,2,3,9,20,0.45,1
54,3,2,3,20,0.15,1
54,3,3,2,20,0.1,1
54,3,4,0,20,0,1
55,1,1,3,90,0.033333333,2
55,2,2,5,90,0.055555556,2
55,2,3,0,90,0,2
55,3,2,0,90,0,2
55,3,3,0,90,0,2
55,3,4,0,90,0,2
56,1,1,0,98,0,1
56,2,2,0,98,0,1
56,2,3,14,98,0.142857143,1
56,3,2,0,98,0,1
56,3,3,0,98,0,1
56,3,4,0,98,0,1
57,1,1,7,139,0.050359712,2
57,2,2,5,139,0.035971223,2
57,2,3,1,139,0.007194245,2
57,3,2,0,139,0,2
57,3,3,0,139,0,2
57,3,4,1,139,0.007194245,2
58,1,1,0,74,0,2
58,2,2,1,74,0.013513514,2
58,2,3,18,74,0.243243243,2
58,3,2,0,74,0,2
58,3,3,1,74,0.013513514,2
58,3,4,1,74,0.013513514,2
60,1,1,0,45,0,1
60,2,2,0,45,0,1
60,2,3,1,45,0.022222222,1
60,3,2,0,45,0,1
60,3,3,0,45,0,1
60,3,4,0,45,0,1
61,1,1,0,62,0,2
61,2,2,0,62,0,2
61,2,3,0,62,0,2
61,3,2,0,62,0,2
61,3,3,0,62,0,2
61,3,4,0,62,0,2
62,1,1,0,43,0,2
62,2,2,5,43,0.11627907,2
62,2,3,6,43,0.139534884,2
