subject,english-words,total,one,two,three,four,other-speak,other-read,other-write,other-under,age-exposed-eng,age-exposed-other,current-expos-other,current-use-other,time-speak-eng-family,time-speak-eng-friends,time-speak-other-family,time-speak-other-friends,cs-1,cs-2,cs-3,cs-4,number-eng-files,propengonly,apt,classroom,intransit,intransitother,resto,shopping,otherpublic
36,1445,30.44982699,6.228373702,1.384083045,3.460207612,19.37716263,3,4,4,3,0,14,1,1,3,2,0.25,0,2,2,1,2,40,0.506329114,0.275862069,0,0.333333333,0,0,0,0.5
37,1685,38.57566766,10.08902077,0.59347181,2.96735905,24.92581602,4,4,3,4,3,0,7,5,1,8,5,1,3,3,2,4,89,0.988888889,0.26984127,0,0.571428571,0,0.5,0,0.2
38,2218,27.95311091,3.606853021,0.901713255,9.467989179,13.97655546,5,7,4,5,0,5,4,4,2,3,0,0,3,5,1,3,147,1.013793103,0.144329897,0,0.545454545,0,0.5,0.333333333,0.333333333
39,3657,31.44654088,5.742411813,0.820344545,13.67240908,11.21137544,5,1,2,7,0,0,5,6,6,8,2,1,3,4,5,3,80,0.975609756,0.388888889,0.333333333,0.458333333,0,0.5,0,0.176470588
41,2717,33.49282297,5.520794994,1.104158999,7.361059993,19.50680898,3,4,4,6,0,0,10,5,5,8,2,0,2,3,2,3,106,1,0.175438596,0.6,0.411764706,0.571428571,0.090909091,1,0
42,1593,22.59887006,8.160703076,0.62774639,8.160703076,5.649717514,3,2,1,5,2,5,10,5,16,12,2,0,2,2,1,2,86,1,0.121212121,0,0.466666667,0,0,0,0
43,1646,31.59173755,7.290400972,3.645200486,9.113001215,11.54313487,3,4,2,4,0,3,3,3,2,24,0,0.25,2,1,1,3,63,0.9,0.371428571,0.142857143,0.5,1,0.411764706,0,0.285714286
44,3130,18.21086262,6.07028754,0.638977636,6.07028754,5.431309904,5,2,2,7,4,1,5,5,12,12,6,6,5,5,5,5,0,0,0.314285714,0,0.25,0.666666667,0.5,0,0.2
45,3021,51.30751407,4.634227077,1.986097319,24.16418405,20.52300563,7,7,6,6,10,0,8,7,0,10,1,0,2,4,1,2,109,0.96460177,0.338028169,0.2,0.625,0,0.333333333,0,0.444444444
46,2043,21.0474792,10.76847773,0.48947626,2.447381302,7.342143906,6,6,6,6,4,1,6,5,0,12,1,2,5,4,4,5,52,0.584269663,0.076923077,0,0.4,0,0.24,0.1,0.538461538
47,829,27.74427021,8.443908323,1.206272618,6.031363088,12.06272618,5,5,4,6,0,0,10,7,1,5,1,0,3,3,3,3,42,0.954545455,0,0.5,0,0.5,0,0,0.235294118
48,1038,31.79190751,7.707129094,0,10.5973025,13.48747592,5,4,5,7,2,1,8,7,4,8,6,1,3,4,4,5,33,0.846153846,0.264705882,0,0,0.6,0,0,0
49,942,36.09341826,7.430997877,1.061571125,12.7388535,14.86199575,6,3,1,6,3,0,10,10,8,6,5,0,3,2,1,1,52,0.787878788,0.064516129,0,0.4,0,0.545454545,0.25,0.222222222
50,2653,20.35431587,5.65397663,1.884658877,5.277044855,7.538635507,5,2,1,6,3,0,5,5,4,5,1,0,4,4,4,5,96,0.989690722,0.173076923,0,0,0.333333333,0.333333333,0,0.333333333
52,1391,19.41049605,2.875629044,1.437814522,7.907979871,7.18907261,5,5,4,7,0,0,7,3,1,7,0.5,0,1,2,1,1,59,1,0.192982456,0,1,1,0,0,0
53,1092,19.23076923,1.831501832,3.663003663,4.578754579,9.157509158,5,3,3,6,1,1,4,2,2,2,1,0,2,2,1,1,45,0.9375,0.166666667,0,0,0,0.666666667,0,0
54,987,25.32928065,6.079027356,1.013171226,6.079027356,12.15805471,4,1,1,5,0,0,5,7,8,8,2,0,3,2,1,4,28,1.4,0.6,2,0,0,0,0,0
55,2068,4.835589942,2.417794971,0,1.450676983,0.967117988,6,6,6,6,0,0,8,6,3,2,2,0,2,4,2,3,82,0.911111111,0,0,0.181818182,1,0,0,0.059701493
56,1792,19.53125,6.696428571,0,3.90625,8.928571429,3,4,2,5,6,0,5,5,8,5,5,2.5,3,3,4,3,0,0,0.166666667,1,0,0.2,0.333333333,0,0.074074074
57,3112,8.676092545,1.606683805,0.642673522,2.892030848,3.53470437,5,6,4,7,0,0,5,3,8,5,5,1,3,3,4,2,138,0.992805755,0.1,0.125,0,0,0,0,0.25
58,2082,24.49567723,4.803073967,0.480307397,12.96829971,6.243996158,7,7,7,7,5,0,5,5,2,5,2,4,3,5,4,3,70,0.945945946,0.260869565,0,0,0.333333333,0.333333333,0,0
60,552,3.623188406,0,1.811594203,0,1.811594203,4,5,5,4,0,12,5,4,8,8,1,2,2,3,2,3,49,1.088888889,0.028571429,0,0.25,0,0,0,0
61,235,0,0,0,0,0,7,7,7,7,7,0,10,7,1,0,4,4,4,4,1,2,23,0.370967742,0,0,0,0,0,0,0
62,1418,26.09308886,4.231311707,0,13.39915374,8.462623413,7, , , ,2,0,10,10,0,4,3,0,2,5,2,2,27,0.627906977,0.083333333,0.333333333,0.545454545,0,0,0,0.666666667
63,135,0,0,0,0,0,7,7,7,7,12,0,10,10,1,2,2,3,5,2,3,5,8,0.235294118,0,0,0,0,0,0,0
64,1817,34.67253715,5.503577325,1.651073198,13.75894331,13.75894331,5,5,5,7,0,7,10,5,5,6,6,0,3,4,1,3,65,0.855263158,0.189655172,0,0.818181818,0,0,0,1
65,1402,26.39087019,5.706134094,0.713266762,11.41226819,8.559201141,6,1,1,7,1,1,5,1,5,7,1,0,2,2,1,2,54,0.981818182,0.243902439,0,0.333333333,0.5,0,0,0
66,861,41.81184669,9.291521487,1.161440186,11.61440186,19.74448316,7,7,6,7,0,0,8,6,1,1,1,1,4,4,4,4,46,1.12195122,0.222222222,0,0.833333333,0,0.5,0.5,0.5
67,449,2.227171492,0,0,2.227171492,0,4,7,7,5,0,0,4,3,1,3,0,1,3,3,2,2,21,1,0,0,0.142857143,0,0,0,0
68,5055,9.891196835,4.154302671,1.384767557,1.18694362,3.165182987,7,6,5,7,0,0,10,10,0,5,0,1,3,5,3,5,166,0.970760234,0.122807018,0.166666667,0.211538462,1,0.25,0,0
69,633,6.319115324,0,3.159557662,3.159557662,0,4,4,4,4,0,14,1,2,3,5,0,0,3,1,1,2,47,0.979166667,0.181818182,0,0,0,0,0,0
70,1611,18.00124146,3.103662322,1.862197393,3.103662322,9.931719429,5,1,1,5,2,0,8,5,1,1,1,0,2,1,1,1,39,0.557142857,0.177777778,1,0.285714286,0,0,0,0.5
71,2759,17.03515767,0.362450163,0,13.41065603,3.262051468,7,7,6,7,5,0,5,7,0,3,0,2,2,1,2,3,99,0.961165049,0.2,0,0,0,0.285714286,0,0.2
72,846,10.63829787,4.728132388,0,2.364066194,3.546099291,5,5,5,5,4,0,7,7,0,4,2,2,1,3,2,1,69,0.92,0.139534884,0,0,0,0,0,0
73,445,8.988764045,2.247191011,0,6.741573034,0,6,6,6,6,5,0,8,9,3,3,3,3,4,5,3,5,43,0.767857143,0.045454545,0,0,0,0,0,0
74,7,0,0,0,0,0,7,7,7,7,3,0,10,10,0,1,4,4,1,4,1,2,6,0.193548387,0,0,0,0,0,0,0
75,3340,31.73652695,6.586826347,2.095808383,9.580838323,13.47305389,6,6,6,6,3,0,5,6,5,5,3,0.5,2,4,3,2,119,0.92248062,0.240740741,0,0.153846154,0,0.333333333,0.333333333,0.176470588
76,3063,28.40352595,11.42670584,1.632386549,6.529546197,8.814887365,6,7,6,7,0,0,7,5,1,5,2,1,4,5,5,4,94,0.803418803,0.22,0,0.192307692,0,0.5,0.5,0.466666667
77,1321,55.26116578,15.14004542,2.271006813,12.11203634,25.73807721,6,4,3,5,5,0,5,5,3,4,3,0,3,4,2,3,37,0.74,0.307692308,0,0.416666667,0,0.666666667,0,0.5
78,1398,18.59799714,5.722460658,0,5.722460658,7.153075823,6,6,4,7,2,0,2,2,4,2,4,0,2,4,3,2,55,1.037735849,0.066666667,0,0.6,0,0,0.25,0.2
79,1073,27.95899348,12.11556384,2.795899348,2.795899348,10.25163094,7,5,6,7,0,0,5,5,3,4,2,1,4,5,4,4,64,0.888888889,0.219512195,0,0.055555556,0,0.2,0,0.5
80,2807,58.06911293,18.16886356,2.493765586,16.38760242,21.01888137,6,6,5,6,5,0,7,6,1,4,3,1,4,4,3,4,107,0.856,0.48,1,0,0.266666667,0.266666667,0,0.25
81,700,20,5.714285714,0,7.142857143,7.142857143,5,6,5,7,7,0,10,10,3,4,3,0,3,5,3,4,24,0.857142857,0.24,0,0,0,0,0,0
82,607,18.12191104,3.294892916,1.647446458,1.647446458,11.53212521,6,6,6,6,4,0,10,10,0,2,3,1,3,5,3,4,33,0.6875,0.142857143,0,0,0.5,0,0,0.25
83,553,12.65822785,3.616636528,0,9.04159132,0,7,2,2,6,3,1,5,5,2,2,14,0,4,4,4,3,26,0.634146341,0.210526316,0,0,0,0,0,0
